source	target	mor
BARX1	MCL1	5.02545769535162
BARX1	BMP2	4.89683035131357
BARX1	BMP4	4.92330346382771
BARX1	EMX2	4.93853138755642
BARX1	FBN1	5.01410408201519
BARX1	TPM2	4.98117911407709
BARX1	NCAM1	5.14656824070603
BARX1	SOX9	4.95000090951913
DMRTA1	CDKN2A	4.96947714440964
DMRTA1	NEUROG1	5.108744491778
DMRTA1	NCAM1	5.03647401519073
MED26	ANKRD37	5.15986181093198
MYBL1	CDX1	4.94899608048819
MYBL1	BCL2	4.97503905468849
MYBL1	ACOT11	5.05018281718371
MYBL1	MYC	5.03251373545372
MYBL1	DHRS2	4.88401344708343
MYBL1	NLK	5.04995150850272
MYBL1	CREBBP	4.88551577301416
MYBL1	LDHC	5.09029721582867
MYBL1	CD34	5.01143281137054
MYBL1	TIMM17A	5.06847745091889
MYBL1	GATA1	5.00661160069607
MYBL1	NCL	5.08583405101028
NHLH1	LMO4	5.08172862616784
NHLH1	NDN	4.99878542968166
NHLH1	SHH	5.19779248095965
NHLH1	SLC13A4	4.89861199684281
NHLH1	ID2	4.96934599437269
NR2F6	CD44	4.97533072606582
NR2F6	NPPA	4.86099750743469
NR2F6	CYP19A1	5.07333816834685
NR2F6	EEF1A2	4.7668993417248
NR2F6	REN	4.94700116763684
NR2F6	APOA2	5.06651407557869
NR2F6	APOB	4.92231861009938
NR2F6	APOC3	5.15433128383466
NR2F6	IL17A	4.86902465452428
NR2F6	IL2	5.04713128413654
NR2F6	POU5F1	5.01145956640189
NR2F6	OXT	4.96269770777278
NR2F6	LHCGR	5.10637127063414
NR2F6	APOA1	5.04036044444767
NR2F6	APOC2	4.9063415368911
NR2F6	PER1	5.00399610477632
PAX4	GCG	4.91341021786818
PAX4	INS	4.99511213564372
PAX4	FZD8	4.97482314364734
PAX4	ARX	5.0370268180326
PAX4	BCL2L1	5.05355714160843
PAX4	REG3A	4.84467619876405
PAX4	NXNL1	5.01032800364857
PAX4	ARAP1	4.97578648706751
PAX4	ISL1	5.01978467823525
PBX2	UGT2B17	4.93296113645455
PBX2	EPHA8	4.93455430851073
PBX2	CCL2	4.83772372685611
PBX2	ALDH1A2	4.89458132070053
PBX2	RHOA	5.012579216061
PBX2	EMX2	4.91701355946436
PBX2	FMO3	5.12632811677602
PBX2	MEIS1	5.12987154413515
PBX2	PF4	4.98469460793803
PBX2	VCP	4.96830354887359
PBX2	FGF8	4.88261980576732
SND1	AGTR1	5.01928063884499
SND1	IGFBP3	5.11165620955745
TLE1	BCL2	4.95331746821654
TLE4	CDKN1B	4.87153041657534
YY1	NR3C1	4.76107526234526
YY1	FOS	4.90910752323552
YY1	SOD1	4.926510662574
YY1	ACR	5.06904296487873
YY1	LDLR	5.06792029078254
YY1	CXCR4	4.94426466817638
YY1	HMGCS2	4.97177835673256
YY1	IL5	4.91390413924484
YY1	CETP	4.96775442184059
YY1	IL3	4.87393192513663
YY1	TP53	4.88538422986355
YY1	PTPRA	5.20367939488334
YY1	CFTR	5.03918916471593
YY1	MYC	5.02124754716184
YY1	BGLAP	5.04759693004433
YY1	SURF1	4.88127889708255
YY1	H3C14	5.09948459493794
YY1	GAA	5.08216417629193
YY1	HLA-A	5.05642704951576
YY1	NPPB	5.04660973676743
YY1	TOP3A	5.10028923866748
YY1	PLP1	4.89446993252473
YY1	CLC	5.10635817455427
YY1	COL1A1	4.91609947324485
YY1	VWF	5.12335806174116
YY1	HLA-DRA	4.98614301854268
YY1	IL4	4.89965685666578
YY1	STAR	5.13826698550698
YY1	MSX2	5.26247050353884
YY1	NDUFS8	5.02259850177954
YY1	TAGLN	5.00915104181267
YY1	HOXB4	4.90565284005043
YY1	MUC1	4.88485179522859
YY1	CDC6	4.93428170091542
YY1	DEK	5.07704257232596
YY1	ZHX1	5.0531964140135
YY1	CCR5	4.97714038784915
YY1	IFNB1	4.9645210566395
YY1	MYH6	5.0422689465858
YY1	MYH13	4.92665384671285
YY1	SPTA1	5.08186683664493
YY1	CCL13	4.96154913132232
YY1	SERPINE1	5.1539570193619
YY1	IFNG	4.76046174189764
YY1	PAX2	4.95182968396352
YY1	HSD3B2	5.01401782962922
YY1	SNAI2	4.9304754452014
YY1	THBS1	4.92316227618886
YY1	ACP5	4.85380862085391
YY1	IVL	5.08654947371809
ZNF239	RBP3	5.11870270898969
ZNF239	GRB10	4.90563026572312
ZNF571	TRIM28	5.09150287324342
ZNF571	HP	5.00836927926881
